county,county,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20
Adams,Adams,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
Amite,Amite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Attala,Attala,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
Bolivar,Bolivar,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4
Calhoun,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chickasaw,Chickasaw,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6
Choctaw,Choctaw,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Clay,Clay,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Coahoma,Coahoma,0,0,0,0,0,0,0,2,2,3,3,7,8,11,11
Copiah,Copiah,0,0,1,1,2,2,2,2,2,2,2,4,4,5,6
DeSoto,DeSoto,0,0,0,0,0,0,0,1,2,4,4,18,23,29,36
Forrest,Forrest,1,1,3,3,3,3,3,3,4,4,4,11,11,14,15
Franklin,Franklin,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3
George,George,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Grenada,Grenada,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Hancock,Hancock,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5
Harrison,Harrison,0,0,0,0,0,0,1,4,7,8,8,15,21,24,25
Hinds,Hinds,0,0,0,0,2,2,6,6,6,7,7,20,24,31,38
Holmes,Holmes,0,0,0,0,0,0,0,0,1,3,3,6,6,6,7
Humphreys,Humphreys,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Itawamba,Itawamba,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
Jackson,Jackson,0,0,0,0,0,0,1,1,2,3,3,5,7,10,12
Jones,Jones,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Lafayette,Lafayette,0,0,0,0,0,0,0,0,0,1,1,5,5,8,8
Lamar,Lamar,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Lawrence,Lawrence,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3
Leake,Leake,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
Lee,Lee,0,0,0,0,0,0,0,0,0,1,1,6,8,12,14
Leflore,Leflore,0,0,1,1,1,1,4,4,4,7,7,8,9,10,13
Lincoln,Lincoln,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
Lowndes,Lowndes,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6
Madison,Madison,0,0,0,0,0,0,0,1,1,3,3,9,11,14,17
Marion,Marion,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Marshall,Marshall,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4
Monroe,Monroe,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3
Montgomery,Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
Newton,Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Noxubee,Noxubee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Oktibbeha,Oktibbeha,0,0,0,0,0,0,0,0,0,0,0,2,5,5,7
Panola,Panola,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Pearl River,Pearl River,0,0,1,1,2,2,2,4,7,7,7,10,12,13,13
Perry,Perry,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Pike,Pike,0,0,0,0,0,0,0,0,0,1,1,3,4,7,10
Pontotoc,Pontotoc,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Prentiss,Prentiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rankin,Rankin,0,0,0,0,0,0,0,0,0,3,3,7,8,13,20
Scott,Scott,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
Simpson,Simpson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Smith,Smith,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Sunflower,Sunflower,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
Tallahatchie,Tallahatchie,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Tate,Tate,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Tippah,Tippah,0,0,0,0,0,0,0,0,0,3,3,7,9,11,11
Tunica,Tunica,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
Union,Union,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Walthall,Walthall,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3
Washington,Washington,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5
Webster,Webster,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
Wilkinson,Wilkinson,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5
Winston,Winston,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3
Yazoo,Yazoo,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3